datetime,unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
2021-03-27 12:00:00,1616846400.0,2021-03-27 12:00:00,BTC/USDT,54480.01,54620.0,54001.0,54321.05,15864.474,860308295.43054,156734
2021-03-27 13:00:00,1616850000.0,2021-03-27 13:00:00,BTC/USDT,54321.05,54898.0,54111.0,54754.9,11741.528,639443272.82933,124822
2021-03-27 14:00:00,1616853600.0,2021-03-27 14:00:00,BTC/USDT,54754.91,54768.72,54401.06,54653.14,8673.175,473479159.31295,93181
2021-03-27 15:00:00,1616857200.0,2021-03-27 15:00:00,BTC/USDT,54656.12,55071.06,54528.71,54977.0,10181.644,558643117.25929,108591
2021-03-27 16:00:00,1616860800.0,2021-03-27 16:00:00,BTC/USDT,54976.67,56259.36,54964.15,56180.01,26906.26,1497422816.36547,256480
2021-03-27 17:00:00,1616864400.0,2021-03-27 17:00:00,BTC/USDT,56180.01,56300.0,55857.18,56116.02,13401.717,751541878.39551,141277
2021-03-27 18:00:00,1616868000.0,2021-03-27 18:00:00,BTC/USDT,56116.02,56123.32,55574.04,55767.74,8735.972,487551731.73021,100783
2021-03-27 19:00:00,1616871600.0,2021-03-27 19:00:00,BTC/USDT,55767.74,55940.97,55662.19,55784.28,4610.321,257223936.96293,64031
2021-03-27 20:00:00,1616875200.0,2021-03-27 20:00:00,BTC/USDT,55784.29,55932.37,55690.0,55870.01,4772.002,266458737.79214,69303
2021-03-27 21:00:00,1616878800.0,2021-03-27 21:00:00,BTC/USDT,55870.01,56658.76,55685.0,56447.79,9214.825,518093367.74963,115277
2021-03-27 22:00:00,1616882400.0,2021-03-27 22:00:00,BTC/USDT,56447.78,56556.82,56036.19,56374.95,7485.46,421408746.6424,93974
2021-03-27 23:00:00,1616886000.0,2021-03-27 23:00:00,BTC/USDT,56376.51,56447.27,55717.63,55828.0,7842.616,439587485.27852,86614
2021-03-28 00:00:00,1616889600.0,2021-03-28 00:00:00,BTC/USDT,55828.0,56138.99,55575.61,56028.71,9673.638,540177334.93,95994
2021-03-28 01:00:00,1616893200.0,2021-03-28 01:00:00,BTC/USDT,56028.29,56191.23,55784.11,56077.0,5576.52,312349694.81727,66490
2021-03-28 02:00:00,1616896800.0,2021-03-28 02:00:00,BTC/USDT,56076.83,56121.66,55750.13,55818.31,5766.279,322311473.91983,63591
2021-03-28 03:00:00,1616900400.0,2021-03-28 03:00:00,BTC/USDT,55820.01,56157.09,55756.45,56054.33,5227.893,292686856.52463,60232
2021-03-28 04:00:00,1616904000.0,2021-03-28 04:00:00,BTC/USDT,56056.49,56500.0,56056.48,56282.58,8104.1,456063045.37485,88164
2021-03-28 05:00:00,1616907600.0,2021-03-28 05:00:00,BTC/USDT,56282.58,56424.23,56107.11,56285.18,4779.666,268874509.57308,60808
2021-03-28 06:00:00,1616911200.0,2021-03-28 06:00:00,BTC/USDT,56285.52,56330.74,55827.01,55941.81,5924.898,332117880.77915,70887
2021-03-28 07:00:00,1616914800.0,2021-03-28 07:00:00,BTC/USDT,55941.8,56270.06,55872.34,56209.31,4702.895,263816165.4068,62393
2021-03-28 08:00:00,1616918400.0,2021-03-28 08:00:00,BTC/USDT,56209.3,56332.79,56000.0,56319.99,5306.157,298061537.8951,69520
2021-03-28 09:00:00,1616922000.0,2021-03-28 09:00:00,BTC/USDT,56319.99,56588.31,56037.05,56141.4,9197.701,518293391.02069,103508
2021-03-28 10:00:00,1616925600.0,2021-03-28 10:00:00,BTC/USDT,56143.48,56191.0,55700.0,56103.56,10530.042,589187919.90369,114965
2021-03-28 11:00:00,1616929200.0,2021-03-28 11:00:00,BTC/USDT,56103.56,56103.56,55800.0,55808.33,5718.455,319896388.98974,71397
2021-03-28 12:00:00,1616932800.0,2021-03-28 12:00:00,BTC/USDT,55809.72,56016.8,55300.0,55542.7,15085.902,838525289.15709,152453
2021-03-28 13:00:00,1616936400.0,2021-03-28 13:00:00,BTC/USDT,55542.7,55911.68,55480.0,55754.69,8166.803,455290702.74999,91656
2021-03-28 14:00:00,1616940000.0,2021-03-28 14:00:00,BTC/USDT,55754.69,55870.73,55503.73,55819.57,7118.961,396440204.47087,85150
2021-03-28 15:00:00,1616943600.0,2021-03-28 15:00:00,BTC/USDT,55819.7,56400.0,55676.31,56375.31,11421.535,641201867.97223,125966
2021-03-28 16:00:00,1616947200.0,2021-03-28 16:00:00,BTC/USDT,56376.12,56510.0,56030.0,56277.67,9906.475,557421747.70688,108458
