datetime,unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
2020-03-31 12:00:00,1585656000.0,2020-03-31 12-PM,BTC/USDT,6387.19,6461.95,6321.4,6447.37,4797.74,30648571.81,
2020-03-31 13:00:00,1585659600.0,2020-03-31 01-PM,BTC/USDT,6447.37,6481.28,6400.07,6418.0,4091.87,26358461.37,
2020-03-31 14:00:00,1585663200.0,2020-03-31 02-PM,BTC/USDT,6418.0,6484.95,6415.15,6452.04,3234.98,20883874.64,
2020-03-31 15:00:00,1585666800.0,2020-03-31 03-PM,BTC/USDT,6452.04,6500.0,6424.0,6454.12,3921.33,25343803.86,
2020-03-31 16:00:00,1585670400.0,2020-03-31 04-PM,BTC/USDT,6454.12,6469.94,6414.05,6427.59,2812.79,18120887.14,
2020-03-31 17:00:00,1585674000.0,2020-03-31 05-PM,BTC/USDT,6427.59,6459.0,6401.0,6452.79,2362.33,15200058.27,
2020-03-31 18:00:00,1585677600.0,2020-03-31 06-PM,BTC/USDT,6452.79,6486.6,6444.82,6462.37,2326.75,15038936.47,
2020-03-31 19:00:00,1585681200.0,2020-03-31 07-PM,BTC/USDT,6462.37,6475.0,6430.32,6463.47,2485.86,16047293.92,
2020-03-31 20:00:00,1585684800.0,2020-03-31 08-PM,BTC/USDT,6463.47,6494.9,6447.75,6467.5,2503.51,16207519.69,
2020-03-31 21:00:00,1585688400.0,2020-03-31 09-PM,BTC/USDT,6467.5,6485.0,6420.0,6442.61,2112.04,13622726.48,
2020-03-31 22:00:00,1585692000.0,2020-03-31 10-PM,BTC/USDT,6442.61,6448.0,6420.64,6431.55,1197.65,7707041.79,
2020-03-31 23:00:00,1585695600.0,2020-03-31 11-PM,BTC/USDT,6431.55,6440.99,6386.89,6410.44,2279.88,14626241.96,
2020-04-01 00:00:00,1585699200.0,2020-04-01 12-AM,BTC/USDT,6410.44,6426.52,6239.34,6305.12,9061.28,57230360.58,
2020-04-01 01:00:00,1585702800.0,2020-04-01 01-AM,BTC/USDT,6305.12,6327.93,6285.25,6293.64,2275.17,14333123.48,
2020-04-01 02:00:00,1585706400.0,2020-04-01 02-AM,BTC/USDT,6293.64,6320.49,6287.6,6317.4,1805.2,11386910.04,
2020-04-01 03:00:00,1585710000.0,2020-04-01 03-AM,BTC/USDT,6317.4,6381.7,6310.89,6368.68,2948.57,18720306.26,
2020-04-01 04:00:00,1585713600.0,2020-04-01 04-AM,BTC/USDT,6368.68,6376.28,6333.06,6342.0,1834.46,11652161.4,
2020-04-01 05:00:00,1585717200.0,2020-04-01 05-AM,BTC/USDT,6342.0,6346.99,6288.23,6304.46,2019.88,12755937.85,
2020-04-01 06:00:00,1585720800.0,2020-04-01 06-AM,BTC/USDT,6304.46,6322.0,6271.14,6299.79,3532.85,22254484.31,
2020-04-01 07:00:00,1585724400.0,2020-04-01 07-AM,BTC/USDT,6299.79,6337.96,6287.03,6331.96,2211.29,13970065.9,
2020-04-01 08:00:00,1585728000.0,2020-04-01 08-AM,BTC/USDT,6331.96,6331.96,6285.0,6306.69,2200.56,13872549.35,
2020-04-01 09:00:00,1585731600.0,2020-04-01 09-AM,BTC/USDT,6306.69,6314.3,6257.32,6300.0,2730.94,17170124.74,
2020-04-01 10:00:00,1585735200.0,2020-04-01 10-AM,BTC/USDT,6300.0,6320.1,6286.58,6291.71,2061.05,12987515.94,
2020-04-01 11:00:00,1585738800.0,2020-04-01 11-AM,BTC/USDT,6291.71,6306.09,6269.99,6296.87,2152.68,13535071.49,
2020-04-01 12:00:00,1585742400.0,2020-04-01 12-PM,BTC/USDT,6296.87,6340.81,6210.93,6219.29,6114.42,38208428.63,
2020-04-01 13:00:00,1585746000.0,2020-04-01 01-PM,BTC/USDT,6219.29,6239.89,6170.0,6206.39,4265.08,26480908.73,
